time stamp,signal name,value
Wed Sep 18 21:14:19 2024,Vehicle_speed,10.000000
Wed Sep 18 21:14:20 2024,ACC_State,0.000000
Wed Sep 18 21:14:20 2024,Vehicle_speed,30.000000
Wed Sep 18 21:14:21 2024,ACC_State,0.000000
Wed Sep 18 21:14:21 2024,Vehicle_speed,60.000000
Wed Sep 18 21:14:23 2024,ACC_State,0.000000
Wed Sep 18 21:14:23 2024,Vehicle_speed,90.000000
Wed Sep 18 21:14:24 2024,ACC_State,0.000000
Wed Sep 18 21:14:24 2024,Vehicle_speed,120.000000
Wed Sep 18 21:14:25 2024,ACC_State,0.000000
Wed Sep 18 21:14:25 2024,Vehicle_speed,150.000000
Wed Sep 18 21:14:26 2024,ACC_State,0.000000
Wed Sep 18 21:14:26 2024,Vehicle_speed,180.000000
Wed Sep 18 21:14:27 2024,ACC_State,0.000000
Wed Sep 18 21:14:27 2024,Vehicle_speed,210.000000
Wed Sep 18 21:14:28 2024,ACC_State,0.000000
Wed Sep 18 21:14:28 2024,Vehicle_speed,230.000000
Wed Sep 18 21:14:29 2024,ACC_State,0.000000
Wed Sep 18 21:14:29 2024,Vehicle_speed,250.000000
Wed Sep 18 21:14:30 2024,ACC_State,0.000000
Wed Sep 18 21:14:30 2024,Vehicle_speed,250.000000
Wed Sep 18 21:14:32 2024,ACC_State,0.000000
Wed Sep 18 21:14:32 2024,Vehicle_speed,10.000000
Wed Sep 18 21:14:33 2024,ACC_State,0.000000
Wed Sep 18 21:14:33 2024,Vehicle_speed,30.000000
Wed Sep 18 21:14:34 2024,ACC_State,0.000000
Wed Sep 18 21:14:34 2024,Vehicle_speed,60.000000
Wed Sep 18 21:14:35 2024,ACC_State,0.000000
Wed Sep 18 21:14:35 2024,Vehicle_speed,90.000000
Wed Sep 18 21:14:36 2024,ACC_State,0.000000
Wed Sep 18 21:14:36 2024,Vehicle_speed,120.000000
Wed Sep 18 21:14:37 2024,ACC_State,0.000000
Wed Sep 18 21:14:37 2024,Vehicle_speed,150.000000
Wed Sep 18 21:14:38 2024,ACC_State,0.000000
Wed Sep 18 21:14:38 2024,Vehicle_speed,180.000000
